1;Sorsalinnut;Anseriformes
2;Kanalinnut;Galliformes
3;Kuikkalinnut;Gaviiformes
4;Uikkulinnut;Podicipediformes
5;Ulappalinnut;Procelalriiformes
6;Pelikaanilinnut;Pelecaniformes
7;Haikaralinnut;Ciconiiformes
8;Päiväpetolinnut;Accipitriformes
9;Jalohaukkalinnut;Falconiformes
10;Kurkilinnut;Gruiformes
11;Rantalinnut;Charadriiformes
12;Hietakanalinnut;Pteroclidiformes
13;Kyyhkylinnut;Columbiformes
14;Käkilinnut;Cuculiformes
15;Pöllölinnut;Strigiformes
16;Kehrääjälinnut;Caprimulgiformes
17;Kirskulinnut;Apodiformes
18;Säihkylinnut;Coraciifromes
19;Tikkalinnut;Piciformes
20;Varpuslinnut;Passeriformes
